# x	u_numerical	u_analytical
0.000000	100.000000	100.000000
0.222222	88.882191	88.888889
0.444444	77.765190	77.777778
0.666667	66.649707	66.666667
0.888889	55.536270	55.555556
1.111111	44.425159	44.444444
1.333333	33.316374	33.333333
1.555556	22.209635	22.222222
1.777778	11.104413	11.111111
2.000000	0.000000	0.000000
